title,description,authors,publisher,published_date,categories,ratings_count,review_score,review_time,review_summary,review_text,total_review,helpful_review
S is for Silence (Kinsey Millhone Mysteries),"Thirty-four years after Violet Sullivan's unexplained disappearance, Daisy--the not-quite-seven-year-old daughter she left behind--enlists the assistance of private detective Kinsey Millhone to help her find the truth.",['Sue Grafton'],G.P. Putnam's Sons,2016,['California'],36.0,5.0,2005-12-13,Unlike any of Grafton's previous novels,"Violet Sullivan patted her hair, applied her trademark violet cologne, checked the hemline of her purple sundress, and tucked her Pomeranian pup in her straw bag. She poked her head around the bathroom door to say goodnight to her seven-year-old daughter Daisy in a bubble bath and her regular babysitter, Liza. She blew them both a kiss, climbed into her brand new Chevy Bel Air sedan, backed down the drive, filled the gas tank at a highway gas station, and vanished. It was the 4th of July, 1953 in Serena Station, California. Violet was headed for the fireworks celebration but never showed up.Tongues wagged, police investigated, and speculation mounted in the sleepy little town. Old case files would show that Violet had emptied her safety deposit box of a rumored $50,000 insurance cash settlement and that her favorite outfits were missing from her closet. Her reputation as a loose woman around town led some to figure she had left her brutish husband to run off with a lover. Others believed her husband finally had had enough and killed her in a drunken rage during one of their well-known fights. But there was no body, no abandoned car, no wandering puppy --- not a sign of Violet anywhere. Life pretty much went on after the scandal died down. Thirty-four years later, her daughter, Daisy, blames the disappearance of her mother for her current unhappiness. She decides to find out what really happened to Violet Sullivan, come what may.Private detective Kinsey Millhone's established reputation leads Daisy to her office. Missing persons cases are not in Kinsey's resume, but Daisy's story is so compelling that Kinsey names her price and reluctantly takes the case.When Sue Grafton launched A IS FOR ALIBI in the spring of 1982, the book was heralded by readers and critics alike for its sassy protagonist, Kinsey Millhone, and its bravura debut of what looked like a very ambitious undertaking. If A was for alibi, could an alphabet series all the way to Z be in Grafton's future? She had worked as a Hollywood screenwriter for nearly a decade, survived a nasty divorce, and often fantasized, according to one biographer, of ways to murder her ex-husband. Banging out stories on deadline was a way of life, but it was a grind she no longer wanted to continue, so she created the irrepressible Kinsey of the ever-present little black dress and the beater Volkswagen Beetle.Kinsey's career and life have moved forward five years during the first 18 books in the bestselling detective series. The ubiquitous Beetle has been traded for a newer model. The black dress that served as a trusty prop went up in smoke with the original car, but her wardrobe has remained as casual and ready for action as ever. The angst and introspection of Kinsey's own past in recent books is behind her.S IS FOR SILENCE is a departure from the formula that had become the signature of the Alphabet mysteries. Grafton could, as many series writers do, rest on her laurels and pound out another enjoyable read with the same characters --- Rosie at the diner, Charlie her landlord, Cheney her boyfriend. A week in the life of Kinsey Millhone, on the hunt for a bad guy. Instead, she chose to write a novel laced with atmosphere, delivering a plot with punch and action. She takes the reader back to the sounds, the colors, and the peace and quiet of a sleepy California town in the early 1950s. The story of what happened to a flamboyant, bored young woman, her daughter, her husband, the babysitter, and the men in town who hung out at the Moon Bar and Grill is told from the point of view of each of the people who knew and loved Violet.S IS FOR SILENCE is unlike any of Grafton's prior books, some of which readers and critics felt were becoming hackneyed. She's met the daunting challenge of the alphabet by pushing the envelope. With only seven to go, Kinsey exhibits welcome signs of life and excitement ahead. I can't wait for ""T.""--- Reviewed by Roz Shea",19,22
Brave New World,"Brave New World predicts - with eerie clarity - a terrifying vision of the future. Read the dystopian classic that inspired the Sky TV series. EVERYONE BELONGS TO EVERYONE ELSE Welcome to New London. Everybody is happy here. Our perfect society achieved peace and stability through the prohibition of monogamy, privacy, money, family and history itself. Now everyone belongs. You can be happy too. All you need to do is take your Soma pills. Discover the brave new world of Aldous Huxley's classic novel, written in 1932, which prophesied a society which expects maximum pleasure and accepts complete surveillance - no matter what the cost. 'A masterpiece of speculation... As vibrant, fresh, and somehow shocking as it was when I first read it' Margaret Atwood, bestselling author of The Handmaid's Tale 'A grave warning... Provoking, stimulating, shocking and dazzling' Observer **One of the BBC's 100 Novels That Shaped Our World**",['Aldous Huxley'],Random House,2008,['Fiction'],2713.0,5.0,2008-03-30,"Way Ahead of its time, and durable","This novel is a biting critique of the over-scientification of the emerging modern world, and in particular a scathing critique of early movements towards behavioral conditioning, as well as towards psychoanalysis, mass production, the use of drugs to affect and modify behavior, as well as mass consumerism, all of which had begun to appear around the turn of the 20th Century.Huxley creates an imaginary ""overly controlled,"" ""overly conditioned"" and ""overly bureaucratized"" utopia, one that was supposed to produce world stability and unattainable and unimaginable individual happiness under a regime of benign tyranny. However, when judged by the results and effects on its inhabitants, the utopia turns out to be just the opposite: an avowed dystopia.Mustapha Mond, one of the characters and a member of the ruling elite had decided that all of art must be sacrificed in order to increase the overall happiness of the society. But in a discussion with an inhabitant who existed on the margins of the managed state, he was surprised to learn that the individual, the character, John Savage, disagreed with him and made the radical claim that in order to be free, and even to maximize happiness, people must be allowed the right to be unhappy as well to be happy.From before birth until they were in the grave, the lives of the inhabitants of Huxley's imaginary London were conditioned so that every aspect of their lives were carefully managed by strict rules and by state administered drugs to create the kind of behavior that best suited the needs of those ruling the state. Even fetuses were treated chemically to produce the kind of intelligence that the ruling bureaucrats had decided were in the best interests of the kind of societal stratifications and chosen roles within society that the ruling elites had decided were necessary.American satire rarely gets better than this and not since George Orwell's Animal Farm and his equally effective, 1984, has a single piece of political fiction sounded as many cautionary alarm bells as this cautionary tale. It has proven amazingly durable and prescient in retrospect.Five Stars.",1,2
The Old Patagonian Express,"The acclaimed travel writer journeys by train across the Americas from Boston to Patagonia in this international bestselling travel memoir. Starting with a rush-hour subway ride to South Station in Boston to catch the Lake Shore Limited to Chicago, Paul Theroux takes a grand railway adventure first across the United States and then south through Mexico, Central America, and across the Andes until he winds up on the meandering Old Patagonian Express steam engine. His epic commute finally comes to a halt in a desolate land of cracked hills and thorn bushes that reaches toward Antarctica. Along the way, Theroux demonstrates how train travel can reveal “""the social miseries and scenic splendors” of a continent. And through his perceptive prose we learn that what matters most are the people he meets along the way, including the monologuing Mr. Thornberry in Costa Rica, the bogus priest of Cali, and the blind Jorge Luis Borges, who delights in having Theroux read Robert Louis Stevenson to him.",['Paul Theroux'],Houghton Mifflin Harcourt,2014,['Travel'],13.0,5.0,2006-01-12,Paul Theroux - Travel Writer Extraordinaire!,"For me, discovering a new author is like happening upon a gem of a restaurant that serves up a fascinating new concatenation of spices and flavors. Paul Theroux is the flavor of the month for me. I recall that several years ago I read his book about traveling along the perimeter of the Mediterranean - The Pillars of Hercules. I loved the book, and picked up used copies of some of his other titles. These volumes I placed on one of the many shelves in my home that I have mentally labeled: ""To Be Read When I Can Find The Time""! In the past few weeks, I took the time to read two of those volumes, and I could not be more pleased.Let me offer you a soupcon from one of his travel books, and another morsel from one of his novels.How can you not love a travel book that begins on a cold winter's day on the Orange Line on Boston's legendary T - and ends in the wilds of Argentina's Patagonia region. I have had a fascination with Patagonia since my days of studying French at Governor Dummer Academy under the tutelage of Roy A. Ohrn. R.A.O., as he was called by all the students, had been educated at The Sorbonne, and taught in the classic style. IF he caught a student daydreaming in class, he would exclaim: ""Monsieur, vous tes en Patagonie!"" I am sure this was a subliminal reason for my picking up a paperback copy of The Old Patagonian Express - By Train Through The Americas.Theroux takes us to Guatemala:""Now there were volcanoes all around us, or volcanic hills with footstool shapes that the Mexicans call `little ovens.' It was cooler, and as the sun grew pinker and a ridge of hills rose to meet it where it hovered drawn to the shape of a chalice, near the Pacific, the gathering darkness threw halftones across the hills. The fragments of white were the hats and shirts of cane cutters marching home. But it was not an ordinary jungle twilight, with the mold of shadow under wide, gleaming leaves, flickering hit fires, and the jostlings of mottled pigs and goats. The sky was in flames far off, and when we came closer, the fire was revealed as enormous: bonfires of waste cane burned in sloping fields and sent up cloud tides that were purple and orange and crimson; they floated and lost their color, becoming white until the night absorbed them. Then this smoke fogged the tracks and it was as if we were traveling on some antique steam locomotive in a mountain pass in Asia, through fog that smelled of stale candy. We roared by and left three men, still hungry on the tracks, ploddingly watching the tail lights wizen and converge, slipping gimleted and neatly out of sight."" (Page 104)""Churches were built - a dozen of Spanish loveliness, with slender steeples and finely furnished porches and domes. The earth shook - not much, but enough to split them. Tremors left cracks between windows and separated, in the stained glass of those windows, the shepherd from his brittle flock, the saint from his gold staff, the martyr from his persecutors. Christs were parted from their crosses, and the anatomy of chapel Virgins violated as their enameling, the porcelain white of faces and fingers, shattered, sometimes with a report that startled the faithful in their prayers. The windows, the statues, the masonry, were mended; and gold leaf was applied thickly to the splintered altars. It seemed the churches had been made whole again. But the motion of the earthquakes had never really ceased."" (Page 105)""Anyone who finds a frenzied secularity at a church service in Guatemala - and thinks it should be stamped out - ought to go to the North End of Boston on the feast day of Saint Anthony and consider the probability of redemption n the scuffles of ten thousand Italians frantically pinning dollar bills to the cassock of their patron saint, who is borne on a litter past pizza parlors and mafia hangouts in a procession headed by a wailing priest and six smirking acolytes. Compared to that, the goings-on at La Merced were solemn."" (Page 107)I admire that kind of writing. It brought back to me the sounds and smells and sights of Haiti.In addition to being a prolific traveler who writes prosaically about his travels, Theroux has penned over a dozen novels, including ""The Mosquito Coast"" that was made into a film that starred Harrison Ford. I just finished reading My Secret History - a thinly veiled fictionalized autobiography of Theroux. He tells the story of a writer from Boston whose habit of living double lives follows him around the world and throughout his life.Theroux sets an elegiac tone even before launching his story, as he opens the book with this epigram, quoting A.E. Housman:Into my heart an air that killsFrom yon far country blows:What are those blue remembered hills,What spires, what farms are those?That is the land of lost content,I see it shining plain:The happy highways where I wentAnd cannot come again.Through the eyes of his protagonist, Andre Parent, Theroux comments knowingly on the complexities of the human condition:""But nothing is worse than disgrace. It is lonely and irreversible - a terrible mess. The loud snorting laughter it produces is worse than anguish. Having to live through disgrace is worse than dying."" (Page 69)It is my understanding that Theroux, this son of Boston, now lives in Hawaii. I hope the day will come when he returns to the Hub so we can swap stories with each other while bumping along on the Orange Line!Al",9,11
The Japanese Sword (Japanese Arts Library),"One of the foremost experts on the Japanese sword describes their history andppreciations in this book, with photographs and illustrations.","['Kanzan Sato', '寒山·佐藤', 'Kanzan Satō']",Kodansha International,1983,['Antiques & Collectibles'],1.0,5.0,2004-01-13,A standard in any nihonto library!,"The pictures in this book are stunning! A real tribute to the sword and their beauty. This is a great book for someone who is just beginning their study in nihonto, or for anyone who enjoys the awesome creations that man has achived, before the days of electricty and the power tool!Wonderful book!",8,9
How Do I Teach This Kid?,"""This resource provides special education teachers, therapists, parents, and home-based therapists with practical, easy-to-implement ideas for creating over 80 work tasks or boxes to be used to teach students to work independently and for an established length of time. This book contains classroom and home-tested ideas for addressing skills in six different areas: sorting, matching, reading, writing, mathematics, and motor tasks.""--The back cover.",['Kimberly A. Henry'],Future Horizons,2005,['Education'],2.0,5.0,2012-12-25,Excellent resource,"A must have for educators and parents of young children with autism or any other developmental delays, particularly speech and language or intellectual impairments.",0,0
The Piano Shop on the Left Bank: Discovering a Forgotten Passion in a Paris Atelier,"Walking his two young children to school every morning, Thad Carhart passes an unassuming little storefront in his Paris neighborhood. Intrigued by its simple sign—Desforges Pianos—he enters, only to have his way barred by the shop’s imperious owner. Unable to stifle his curiosity, he finally lands the proper introduction, and a world previously hidden is brought into view. Luc, the atelier’s master, proves an indispensable guide to the history and art of the piano. Intertwined with the story of a musical friendship are reflections on how pianos work, their glorious history, and stories of the people who care for them, from amateur pianists to the craftsmen who make the mechanism sing. The Piano Shop on the Left Bank is at once a beguiling portrait of a Paris not found on any map and a tender account of the awakening of a lost childhood passion. Praise for The Piano Shop on the Left Bank: “[Carhart’s] writing is fluid and lovely enough to lure the rustiest plunker back to the piano bench and the most jaded traveler back to Paris.” –San Francisco Chronicle “Captivating . . . [Carhart] joins the tiny company of foreigners who have written of the French as verbs. . . . What he tries to capture is not the sight of them, but what they see.” –The New York Times “Thoroughly engaging . . . In part it is a book about that most unpredictable and pleasurable of human experiences, serendipity. . . . The book is also about something more difficult to pin down, friendship and community.” –The Washington Post “Carhart writes with a sensuousness enhanced by patience and grounded by the humble acquisition of new insight into music, his childhood, and his relationship to the city of Paris.” –The New Yorker NAMED ONE OF THE BEST BOOKS OF THE YEAR BY THE WASHINGTON POST BOOK WORLD",['Thad Carhart'],Random House Trade Paperbacks,2002,['Music'],27.0,5.0,2001-07-02,Stuff I never even thought about...,"Grew up as the atonal curmudgeon in a thoroughly musical household -- my mother got her BA in music at age 70 and still teaches piano at age 80 -- but Carhart walks one through the &quot;quartier musique&quot; in such a fashion that even I thoroughly enjoyed the stroll. His rediscovery of the piano begins with his own story but fear not, the book moves briskly away from the personal and captures the reader's attention and interest as Carhart writes of the wonderful complexity of this commonplace thing: the piano. The descriptions of the master classes and the visit to the Fazioli piano factory are brilliant concluding pieces to this very well-crafted volume. In essence the book embodies much of what Carhart has to tell us about the piano. As well he treats Paris and the French with due consideration and appreciation and never condescends to his reader. A delightful read that gains momentum.",8,11
"Through the looking-glass and what Alice found there,","In this sequel to ""Alice in Wonderland,"" Alice goes through the mirror to find a strange world where curious adventures await her.",['Lewis Carroll'],Harper Collins,1993,['Juvenile Fiction'],1.0,2.0,1997-01-25,Sad attempt to recreate his first masterpiece.,"Through the Looking Glass is a sad attempt amde by Lewis Carroll to recreate the success of Alice. My belief is that he only did it for the money. It is an interesting book to read after reading Alice, the style is quite different. Also try reading biographies on Lewis Carroll, he did many things that we don't hear about. He liked take pictures of little girls while they were naked, but was also a respected mathmatician. There are amny interesting things about Lewis Carroll and everyone should take the time out to try to understand him. Try reading this book, Alice, and Sylvie and Bruno to get a better understanding of the man",6,20
Harry Potter and The Sorcerer's Stone,"Celebrate 20 years of Harry Potter magic! Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON ...",['J. K. Rowling'],Bloomsbury Publishing,2014,['Juvenile Fiction'],1.0,5.0,1999-10-17,This is the best book I have ever read!,This book and all of the other Harry Potter books are the best books I have ever read in my entire life. I love how J.K. Rowling makes you think one thing and then it is something else.,0,0
"Letters from Home: Loving Messages from the Family (Kryon, Book 7)","this seventh Kryon book of the bestselling Kryon series is the last channelled one before the turn of the century. It deals with exactly that subject: channelled good news from a very loving entity that gets us ready for the ""New Jerusalem.""","['Kryon (Spirit)', 'Lee Carroll']",Kryon,1999,['Religion'],1.0,5.0,2013-02-14,Wonderful,"I was feeling down when I started this book - but by the time I finished , I was motivated . A book on Kryon's channeling - could be read alone or as part of the set of books . Not necessary to have read the earlier books before this .",0,0
I Capture the Castle,"“Every time I meet someone who also loves I Capture the Castle, I know we must be kindred spirits.” —from the new foreword by Jenny Han, the New York Times bestselling author of To All the Boys I’ve Loved Before. A beautiful, deluxe edition of Dodie Smith’s beloved novel, I Capture the Castle, featuring a new foreword by New York Times bestselling author Jenny Han, a stunning new cover, and designed endpapers that is perfect for devoted readers and those discovering this timeless story for the first time. Seventeen-year-old Cassandra Mortmain and her family may live in a ramshackle old English castle, but that’s about as romantic as her life gets. While her beautiful older sister, Rose, longs to live in a Jane Austen novel, Cassandra knows that meeting an eligible man to marry isn’t in either of their futures when their home is crumbling and they have to sell their furniture for food. So Cassandra instead strives to hone her writing skills in her journals. Until one day when their new landlords move in, which include two (very handsome) sons, and the lives of the Mortmain sisters change forever. Through Cassandra’s sharply funny, yet poignant, journal entries, she chronicles the great changes that take place within the castle’s walls, and her own first descent into love. By the time she pens her final entry, she has “captured the castle” – and the heart of the reader – in one of literature’s most enchanting novels. “This book has one of the most charismatic narrators I've ever met.” —J.K. Rowling, bestselling author of the Harry Potter series",['Dodie Smith'],St. Martin's Griffin,2017,['Young Adult Fiction'],188.0,4.0,2002-11-26,Magical and Innocent,"&quot;I Capture the Castle&quot; by Dodie Smith is like a beautiful painting of words. It's about 17 year old Cassandra Mortmain and her family, who live in an old ruined castle in England. Her father is a writer with severe writers block, but who wrote an obscure book, which was one of the most important books of that generation. This book is about her experiences, going from poverty to wealth, from loneliness to love, from complete estrangement from her father to a daughter again. Written as a sort of journal, it chronicles her life for what seems to be about a year. It is written beautifully, very expressively, and to me seems to have an ethereal quality. Some characters are well thought out, and necessarily deep, whereas some, such as Mrs Cotton, are just small, sometimes comedic, sometimes more sombre, pencil-sketches.Cassandra lives through desparate poverty, her father's mood swings, her sister's love affair, falling in love herself, her step-mother's odd habits and rituals, the &quot;hired&quot; help's love for her, and records all of it in hindsight, often with amazing insight and maturity, while maintaining the voice of a 17 year old.This book, to my mind, brings back images of the novels I read when I was young - narrative, and with seemingly no other deeper messages to convey. It is the type of book that I can imagine a mother giving a daughter to read. It is wonderfully innocent, and yet delightfully ravishing to the senses. It is timeless, and creates the English country village scene without any real reference to year or generation. It was a joy to read, and I hope that others find the same pleasure in it that I found.",0,0
Lightning (Turtleback School & Library Binding Edition),"Sensei Wu must teach the Ninjago warriors the ancient art of spinjitzu in order to defeat Lord Garmadon, but first the ninja Jay, whose sense of humor is strong even in battle, must learn when it is the right time to be serious.",['Greg Farshtey'],Scholastic Inc.,2012,['Juvenile Fiction'],1.0,5.0,2012-03-11,Excellent.,"Laura Shane's had a rough life. With some of the disasters life throws at her, she notices a amazing lightning storm. With the lightning comes a mysterious man to save her from the tradegy. She quickly labels him her guardian. Is he an angel or something else? All she knows for sure is that he's around thirty-five, goodlooking, and never seems to age...In boredom I dug out my old Koontz books and reread a couple. Suprising myself that this book, though written twenty-five years ago, still reads well today. Sounds impossible, but it's not. This book still works. I post on a lot of teen fiction and this one fits in perfectly. Koontz builds and progresses his amazing characters like the master he is. He also sends us a message with each book. A lesson for life. Though we already know the lessons, its nice form that he tries.Koontz writes a lot of supernatural. Usually government experiments gone wrong. A secret government weapon escapes to go on a killing spree. Maybe a CIA agent flips out and turns into a random seriel killer. Stuff like that. He makes excellent characters, and has a lot of dark humor. Almost every villain he makes is scary, clever, and also hilarious. Lightning has all of the humor you expect with a Dean Koontz book. He writes in third person shifting views between Laura, the guardian, and the killers. Lightning is one of his best, and a must read. Expect to be shocked, To cry, to bite your nails, and laugh your head off.Negatives.Once you learn the guardians trick, you will see a few plot errors. But, this subject can't be written about without errors. Paradoxes. I'm giving it five stars for the characters, wonderful storyline, the laughs, but most of all because it's still good today.Koontz also puts a lot of details into settings. Too many imo. Sometimes two paragraphs to describe the outside of a apartment building. He also uses a lot of words to describe California property and I have no idea what they mean. I can't remember all of them, but some might be veranda, stucco or stuff like that. Can't he consider uneducated people like to read to? Why can't it just be a two story house with a large white porch?As with any good author he copies some of his own material. Not much. You can read ten or so of his books, but then you start noticing a lot of similarities. The government screwups. The guys on the run usually steal a car, and plates from another. They almost always run to San Francisco and find fake ID's. Why not though? If it works stick with it. It's small stuff anyway and as I said you won't even notice until you read a lot of them.His books are clean in language and sexuality, but maybe too violent for teens today. Since we're trying to keep our teens from seeing anything violent. I personally think these are fine for teens. Your through his violent scenes before you know it, and when you think about it later, you laugh. I can't imagine anyone reading a Koontz book and going on a shooting spree. If anything they might grow a little weary of secret government experiments.",0,0
A treatise on cosmic fire,"This volume deals with the underlying structure of occult teaching for the present era and with those vast cosmic processes reproduced through all areas of life from universe to atom. The book gives an exposition of Solar Fire, the Fire of Mind, since this is the dominant energy to be understood and controlled during this second solar system.",['Alice A. Bailey'],Lucis Press,1973,"['Body, Mind & Spirit']",1.0,5.0,2009-05-14,Book Arrived As Described,Book was exactly as described and arrived in great condition. I have no issues at all with this product and am happy.,1,2
Jerusalem Countdown: A Warning to the World,The author identifies key players in nuclear development and offers prophetic insights,['John Hagee'],Charisma Media,2006,['Religion'],30.0,2.0,2007-10-11,"Well Written, Poorly Researched War Tract","John Hagee is a powerful preacher, but he is not a theologian. This becomes evident as you read Jerusalem Countdown. Basically, the theme of the book is that Iran is preparing nuclear weapons, and that very soon, we will be seeing the invasion of Israel that Ezekiel prophesied in Ezekiel 38-39.Not only is Hagee wrong in his predictions of Iranian acquisition of nuclear materials (he predicted that it would be known by the fall of 2006), but his facts are wrong in many other places.For example, he claims that 6000 people died in the September 11th attacks, when we know now that it was closer to 3000. He also overestimates the number of casualities in the Japanese attacks on Pearl Harbor.He also equates support for the people of Israel with support for the current secular national government in Israel, not necessarily the same thing.But Hagee's biggest mistakes are with the Scriptures. He takes Bible passages referring to the destruction of Solomon's temple in 586 BC, and applies them to the destruction of Herod's temple in 70 AD, a common mistake that Bible students make.But the worst part of the book is Hagee's mishandling of the book of Romans. He claims that Romans 9-11 is a separate tract that doesn't fit at all with the rest of Romans, even though Romans 1-8 has numerous references to God's plan for the Jewish people (see especially Romans 1:16-17, Romans 2:1-32, Romans 3, etc).Another bad thing about the book is that it is a war-mongering, fear mongering book designed to scare the wits out of people. There is no sense of God's love shown in Christ's death on the cross, no sense of hope, no discussion of the future millennium, no discussion of the final victory of God in the new heaven and the new earth.The bottom line is that God is sovereign over history and by looking unto Jesus and putting our hope in Him, all things will work together for the good of those who love God (Hebrews 12:2, Romans 8:28).The best part of this book is when Hagee compares the life of Jesus with the life of Moses, and with the life of Joseph. That part of the book was right on and was very informative.The rest of the book was right wing Zionism on steroids. I agree that someday, Christ will reign over the earth in Jerusalem for a thousand years, and that the people of Israel will be back in the land.But I think that the gathering of the Jewish people into Israel is something that we should let God orchestrate (Ezekiel 39:25-29, Jeremiah 31:23, Isaiah 43:5-7, 51:11, etc) rather than to let it be the work of conservative activists.",14,21
Brave New World,"Brave New World predicts - with eerie clarity - a terrifying vision of the future. Read the dystopian classic that inspired the Sky TV series. EVERYONE BELONGS TO EVERYONE ELSE Welcome to New London. Everybody is happy here. Our perfect society achieved peace and stability through the prohibition of monogamy, privacy, money, family and history itself. Now everyone belongs. You can be happy too. All you need to do is take your Soma pills. Discover the brave new world of Aldous Huxley's classic novel, written in 1932, which prophesied a society which expects maximum pleasure and accepts complete surveillance - no matter what the cost. 'A masterpiece of speculation... As vibrant, fresh, and somehow shocking as it was when I first read it' Margaret Atwood, bestselling author of The Handmaid's Tale 'A grave warning... Provoking, stimulating, shocking and dazzling' Observer **One of the BBC's 100 Novels That Shaped Our World**",['Aldous Huxley'],Random House,2008,['Fiction'],2713.0,3.0,2005-09-23,Not as good as it should have been,"Brave New World is full of interesting ideas, from an embryo production centres and ""hypnopaedia"" to encouragement of promiscuity and partying for social stability. But it doesn't have a plot to put it all together. It only creates a world but not a story. And the ending is so anticlimatic that after the ending, when one turns the page, one thinks ""That's it?!"". However, it is the only complete science fiction book I've read, because it has scientific, political, and philosophical ideas, all together.I'd reccommend 1984 more than this book.",4,8
Journey Through Genius: The Great Theorems of Mathematics,"Like masterpieces of art, music, and literature, great mathematical theorems are creative milestones, works of genius destined to last forever. Now William Dunham gives them the attention they deserve. Dunham places each theorem within its historical context and explores the very human and often turbulent life of the creator — from Archimedes, the absentminded theoretician whose absorption in his work often precluded eating or bathing, to Gerolamo Cardano, the sixteenth-century mathematician whose accomplishments flourished despite a bizarre array of misadventures, to the paranoid genius of modern times, Georg Cantor. He also provides step-by-step proofs for the theorems, each easily accessible to readers with no more than a knowledge of high school mathematics. A rare combination of the historical, biographical, and mathematical, Journey Through Genius is a fascinating introduction to a neglected field of human creativity. “It is mathematics presented as a series of works of art; a fascinating lingering over individual examples of ingenuity and insight. It is mathematics by lightning flash.” —Isaac Asimov",['William Dunham'],Penguin Books,1991,['Biography & Autobiography'],14.0,5.0,2004-08-29,A marvelous history of significant mathametics,"Well I couldn't fit the entire title I wanted. Add the words ""made enjoyable to read"" to the title. I'm not a mathematician by any stretch of the imagination, but I do enjoy the subject. The author picked what seemed to me to be some of the most significant mathematics over a 2300 year period and put it in a form that made it very enjoyable to read. I wish there was a course version of this offered during my college years. I think a student would get a lot out of it and also enjoy going to class.",0,0
The Lord of the Rings - Boxed Set,"This beautiful gift edition of The Hobbit, J.R.R. Tolkien's classic prelude to his Lord of the Rings trilogy, features cover art, illustrations, and watercolor paintings by the artist Alan Lee. Bilbo Baggins is a hobbit who enjoys a comfortable, unambitious life, rarely traveling any farther than his pantry or cellar. But his contentment is disturbed when the wizard Gandalf and a company of dwarves arrive on his doorstep one day to whisk him away on an adventure. They have launched a plot to raid the treasure hoard guarded by Smaug the Magnificent, a large and very dangerous dragon. Bilbo reluctantly joins their quest, unaware that on his journey to the Lonely Mountain he will encounter both a magic ring and a frightening creature known as Gollum. Written for J.R.R. Tolkien's own children, The Hobbit has sold many millions of copies worldwide and established itself as a modern classic.",['J.R.R. Tolkien'],HarperCollins,2012,['Young Adult Fiction'],38.0,3.0,2008-09-22,"I'll always have a soft spot for this program, but it could still have been done much better.","I was first exposed to the wonderful world of Middle_Earth largely at the insistance of my fourth-grade teacher. She had both the American radiodramas of the Hobbit and Lord of the Rings available for anyone to check out. Perhaps because I was only ten at the time, I enjoyed the acting and sound effects, which I must say were done better in the Hobbit than in the Lord of the Rings. This program was released a year or so before I was born, in 1979 if I remember right, and so it's understandable that they wouldn't be able to do as much with the story as they probably could nowadays.First I'll start with the things I liked about it. The soundtrack for this paticular dramatization is composed of classical pieces that, though not specifically written for the program, fit in quite well, at least as far as I'm concerned. For peaceful moments inth estory you get pieceful music, then for the battles the music becomes more tense.The cast is something of a mixed bag. I like them, but I've always felt that each actor had too many parts to work with, so several characters ended up sounding the same. I didn't know Gimley and Gloin were exactly the same person. Voiced by the same actor (Gail Chugg, the narrator), it would be easy to confuse them if Gloin had featured more prominently in Lord of the Rings. Also, the same actor who portrays Frodo also portrays Saruman.One thing I didn't like nearly as much about this adaptation are the sound effects. While most of them are extremely realistic, horses' hooves, crackling fires, rushing streams and the like, the sword fight sounds weren't quite as good. And, as another reviewer mentions, the bizarre laser effects when Gandalf uses his magic tend to put one more in mind of a Sci-Fi drama like War of the Worlds than a fantasy.Despite its flaws however, I'll always have a soft spot for both these Mind's Eye dramas, probably because they were my first real exposure to Tolkien's world. In fact if I hadn't misplaced them I would probably still dig them out and listen to them fairly often. The two stars are mainly subtracted for the rather scarce cast and some of the SFX. One thing I did really like were the wooden boxes that both The Hobbit and Lord of the Rings came in. Even a blind person like myself could feel the cool designs, probably writing, that were engraved into the wood. So while i'll admit that neither this program nor The Hobbit are as high quality as they could have been, I still enjoyed them enough to own them. I may have to reorder them at some point. Maybe when I have children and I decide to introduce them to the world of Middle Earth.",1,1
Applied Economics: Thinking Beyond Stage One,"The application of economics to major contemporary real world problems -- housing, medical care, discrimination, the economic development of nations -- is the theme of this new book that tackles these and other issues head on in plain language, as distinguished from the usual jargon of economists. It examines economic policies not simply in terms of their immediate effects but also in terms of their later repercussions, which are often very different and longer lasting. The interplay of politics with economics is another theme of Applied Economics, whose examples are drawn from experiences around the world, showing how similar incentives and constraints tend to produce similar outcomes among very disparate peoples and cultures.",['Thomas Sowell'],Hachette UK,2008,['Business & Economics'],4.0,5.0,2004-03-21,Must Read,"This book gives a great big picture look into the economics of many issues facing us today. Such issues as prescription drugs, real estate, income taxes, free trade are discussed in an economic light to fully understand all implications of solutions to those issues. In my opinion, it's not political, just economic pricipals being applied. Great read!",8,8
